*******************************************************************************************************************
*    Row   * Instance *       run *    subrun *     event *   toftime *     wcmom *   ckovadc *           evtTime *
*******************************************************************************************************************
*    39449 *        1 *    100985 *        19 *      2897 * 45.682384 * 1006.4691 *        -5 * 1610502658.514749 *
*    39617 *        2 *    100985 *        20 *     17021 * 32.388889 * 1059.3670 *        -5 * 1610504303.075467 *
*    39649 *       30 *    100985 *        21 *      5883 * 33.141616 * 928.30236 *        -5 * 1610504608.671839 *
*    39700 *        4 *    100985 *        22 *       237 * 32.581695 * 1161.7104 *        -5 * 1610505219.289186 *
*    39740 *       43 *    100985 *        22 *     13195 * 32.740516 * 1020.9523 *        -5 * 1610505890.452713 *
*    39745 *        6 *    100985 *        22 *     15311 * 32.206932 * 1224.2915 *        -5 * 1610506009.451393 *
*    39758 *       33 *    100985 *        23 *       428 * 32.246624 * 1062.5634 *        -5 * 1610506131.472024 *
*    39970 *        2 *    100985 *        25 *     14445 * 32.886337 * 1014.2859 *        -5 * 1610508692.258474 *
*    40006 *        0 *    100985 *        26 *      7680 * 32.924484 * 972.20459 *        -5 * 1610509239.642936 *
*    92607 *        0 *    100990 *         3 *      6514 * 45.688732 * 1000.1505 *        -5 * 1610673727.794669 *
*    92609 *        6 *    100990 *         3 *     15829 * 42.453140 * 1112.8502 *        -5 * 1610674152.292788 *
*    92609 *       11 *    100990 *         3 *     15829 * 42.453140 * 1112.8502 *        -5 * 1610674152.292788 *
*    92613 *        3 *    100990 *         4 *     11568 * 33.048717 * 986.95996 *        -5 * 1610674702.831700 *
*    92616 *        2 *    100990 *         5 *     12653 * 32.834323 * 939.87316 *        -5 * 1610675615.522794 *
*    92617 *        0 *    100990 *         5 *     16524 * 32.567806 * 1123.6873 *        -5 * 1610675798.619835 *
*    92621 *        9 *    100990 *         6 *      6802 * 32.942390 * 1095.8840 *        -5 * 1610676225.656860 *
*    92623 *        1 *    100990 *         6 *     11863 * 32.571205 * 1047.7854 *        -5 * 1610676468.873369 *
*    92624 *        0 *    100990 *         7 *     12427 * 32.759853 * 944.01361 *        -5 * 1610677444.373240 *
*    92633 *        0 *    100990 *         8 *     16824 * 32.872451 * 990.90960 *        -5 * 1610678601.134348 *
*    92636 *        2 *    100990 *         9 *      7021 * 44.268852 * 1042.6615 *        -5 * 1610678967.196636 *
*    92637 *        0 *    100990 *         9 *      9759 * 43.387146 * 1041.9658 *        -5 * 1610679090.270182 *
*    92647 *        4 *    100990 *        10 *      8376 * 33.051998 * 1006.9549 *        -5 * 1610679822.446360 *
*    92653 *        6 *    100990 *        10 *     11105 * 45.931983 * 957.99096 *        -5 * 1610679940.484060 *
*    92659 *        0 *    100990 *        12 *       317 * 32.773071 * 968.16168 *        -5 * 1610680978.833627 *
*    92660 *        0 *    100990 *        12 *      5334 * 32.705318 * 1066.0125 *        -5 * 1610681223.102693 *
*    92661 *        2 *    100990 *        13 *      1815 * 32.789913 * 1040.7627 *        -5 * 1610681954.847526 *
*    92663 *        5 *    100990 *        13 *     15367 * 43.145355 * 1074.4693 *        -5 * 1610682623.137976 *
*    92670 *        0 *    100990 *        15 *      1025 * 32.836616 * 1145.8674 *        -5 * 1610683723.083601 *
*    92678 *        1 *    100990 *        15 *      7028 * 32.797363 * 974.74035 *        -5 * 1610684025.555129 *
*    92682 *        0 *    100990 *        17 *      6298 * 42.958293 * 1096.2401 *        -5 * 1610685794.581476 *
*    92687 *        0 *    100990 *        17 *     16111 * 32.505863 * 1083.3142 *        -5 * 1610686278.873887 *
*    92688 *       18 *    100990 *        17 *     16353 * 33.181102 * 829.51904 *        -5 * 1610686282.220584 *
*    92691 *       15 *    100990 *        18 *     11218 * 32.760456 * 1106.8901 *        -5 * 1610686950.633656 *
*    92728 *       27 *    100990 *        20 *     26973 * 32.064147 * 1072.4243 *      3529 * 1610689510.338765 *
*    92734 *       11 *    100991 *         0 *      3518 * 33.789222 * 1066.2850 *        -5 * 1610690118.233549 *
