*******************************************************************************************************************
*    Row   * Instance *       run *    subrun *     event *   toftime *     wcmom *   ckovadc *           evtTime *
*******************************************************************************************************************
*    92728 *       27 *    100990 *        20 *     26973 * 32.064147 * 1072.4243 *      3529 * 1610689510.338765 *
*    93918 *       22 *    100991 *        30 *      5303 * 32.466789 * 866.50915 *      3521 * 1610713032.318954 *
*    94071 *        6 *    100991 *        33 *     17475 * 32.378067 * 845.04742 *      3559 * 1610715649.909919 *
*    94834 *        6 *    100991 *        44 *      4487 * 32.753128 * 939.29455 *      3513 * 1610724667.744741 *
*   107857 *        2 *    100995 *         9 *      1389 * 32.586433 * 1106.0147 *      3493 * 1610859841.040901 *
*   111782 *        3 *    100997 *         3 *      3766 * 31.804088 * 716.11474 *      3517 * 1610911516.453570 *
*   112291 *       34 *    100998 *         2 *      5546 * 31.293653 * 1028.9913 *      3523 * 1610921448.431020 *
*   112681 *        0 *    100999 *         9 *      1066 * 32.282627 * 1112.7448 *      3435 * 1610928877.973145 *
*   112944 *        6 *    100999 *        14 *      7707 * 31.874488 * 998.19854 *      3496 * 1610933378.679864 *
*   113284 *       12 *    100999 *        19 *      7520 * 32.101146 * 1001.0958 *      3486 * 1610937904.886873 *
*   119902 *       10 *    101002 *        17 *     15735 * 32.117660 * 1265.6997 *      3506 * 1610990576.783443 *
*   120586 *        9 *    101003 *         0 *      2217 * 32.466869 * 987.32055 *      3426 * 1610996129.634893 *
*   120784 *        1 *    101003 *         3 *      1224 * 32.505962 * 1065.8016 *      3513 * 1610997527.264913 *
*   125022 *        0 *    101006 *         1 *      2222 * 32.763362 * 1154.6562 *      3480 * 1611034845.154431 *
*   126299 *        2 *    101007 *         5 *       322 * 32.672058 * 1102.6441 *      3507 * 1611048360.484980 *
*   128338 *        3 *    101009 *         3 *       365 * 32.751411 * 963.60113 *      3485 * 1611073158.226158 *
*   128587 *        1 *    101010 *         0 *      1179 * 32.447105 * 1054.0861 *      3447 * 1611078105.543019 *
*   128795 *        0 *    101011 *         9 *       243 * 32.760456 * 938.15692 *      3468 * 1611082567.975991 *
*   128861 *        0 *    101011 *        11 *      1480 * 30.922943 * 969.77685 *      3406 * 1611083833.768442 *
*   129020 *        0 *    101012 *         0 *       379 * 34.309791 * 1057.9755 *      3470 * 1611087937.738633 *
*   129067 *        2 *    101012 *         2 *      1496 * 32.989547 * 1026.6591 *      3463 * 1611089082.422262 *
*   129706 *        6 *    101013 *         8 *      5600 * 32.415920 * 1146.3227 *      3549 * 1611102540.766558 *
*   129778 *        3 *    101013 *        11 *     12146 * 32.300025 * 994.55304 *      3408 * 1611104409.061253 *
*   130026 *        0 *    101015 *         2 *     14064 * 32.479911 * 989.75647 *      3475 * 1611123474.997351 *
*   130123 *        1 *    101017 *         1 *     12540 * 32.596199 * 1109.0054 *      3469 * 1611143807.893813 *
*   130235 *        2 *    101022 *         1 *      8125 * 32.407348 * 1058.5811 *      3503 * 1611190705.162625 *
*   130263 *        0 *    101022 *         2 *      2700 * 32.925125 * 798.36065 *      3521 * 1611191066.527724 *
*   130389 *       22 *    101022 *         4 *      5093 * 32.328098 * 1030.0346 *      3443 * 1611192270.803298 *
