*******************************************************************************************************************
*    Row   * Instance *       run *    subrun *     event *   toftime *     wcmom *   ckovadc *           evtTime *
*******************************************************************************************************************
*   106725 *        3 *    100994 *        11 *       384 *  35.52425 * 1120.8900 *        -5 * 1610847166.842412 *
*   112288 *        3 *    100998 *         2 *      5472 * 37.102169 * 661.62390 *        -5 * 1610921446.546621 *
*   114109 *       27 *    100999 *        25 *     11510 * 36.041671 * 1032.4244 *        -5 * 1610943518.500888 *
*   116849 *        0 *    101001 *        14 *      1991 * 35.957599 * 1093.0362 *        -5 * 1610964393.009668 *
*   119887 *        7 *    101002 *        17 *     13320 * 37.155609 * 1069.1256 *        -5 * 1610990454.697780 *
*   122892 *       20 *    101004 *         2 *      2876 * 36.201435 * 1075.6170 *        -5 * 1611016022.961560 *
*   126264 *       41 *    101007 *         4 *      1493 * 35.588657 * 1036.8525 *        -5 * 1611047995.798818 *
*   129173 *       11 *    101012 *         7 *      1825 * 35.572437 * 1122.1068 *        -5 * 1611091438.160165 *
*   130012 *        0 *    101015 *         0 *      7942 * 36.821212 * 932.50109 *        -5 * 1611121362.846146 *
*   130232 *        7 *    101022 *         1 *      8017 * 35.681263 * 1089.4306 *        -5 * 1611190704.078794 *
*   130676 *       11 *    101022 *         9 *      5251 * 35.937992 * 1025.9084 *        -5 * 1611195288.538240 *
*   131562 *       10 *    101026 *         0 *        89 * 35.496284 * 1131.0385 *        -5 * 1611214935.126066 *
*   131996 *       23 *    101028 *         9 *       844 * 35.583808 * 1109.6619 *        -5 * 1611224136.006488 *
*   134837 *        1 *    101035 *        18 *     11044 * 35.380672 * 1178.9224 *        -5 * 1611327096.156797 *
*   134855 *       11 *    101035 *        19 *      7027 * 35.612663 * 1085.1685 *        -5 * 1611327524.586073 *
*   136400 *        6 *    101035 *        62 *     15016 * 35.913223 * 1039.2854 *        -5 * 1611362035.414660 *
*   136846 *        3 *    101037 *        18 *      5408 * 35.390239 * 1127.0013 *        -5 * 1611372456.419048 *
